https://www.ctcrash.uconn.edu/QueryTool2.action?qid=166508
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"63601","1","1","Vehicle in Operation","1","Hond","2008","2008","Crv","Blu      ","N","Northbound","false","17","Pedestrian","6","Turning Right","0","None","88","Not Applicable","35","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","3","Hillcrest","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","1","No Damage","2","(Sport) Utility Vehicle","6","Turning Right","0","None","5J6RE485X8L013147   ","6","Stop Sign","2","Yes","17","Pedestrian","17","Pedestrian","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","N/A","false","false","Rt32","false","CT","false","false","88","SUMMIT","","","","","","","","","","","","","","","","","","","","","","","",""
"67945","1","1","Vehicle in Operation","1","MAZD","2015","2015","CX5","BLU","S","Southbound","false","19","Other Non-motorist","10","Entering Traffic Lane","0","None","88","Not Applicable","35","","","1","Two-Way, Not Divided","4","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","2","(Sport) Utility Vehicle","10","Entering Traffic Lane","0","None","JM3KE4CY1F0513258","1","No Control Device","88","Not Applicable","19","Other Non-motorist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Brooklyn","CT","","06234","","false","","false","false","Rt. 6","false","CT","false","false","1","SAFECO","","","","","","","","","","","","","","","","","","","","2016-07-27","","","",""
"67945","2","1","Vehicle in Operation","1","","","","","","","","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","","","88","","","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","","1","Straight","1","Level","14","Top","2","Minor Damage","","","1","Straight Ahead","0","None","","99","Unknown","88","Not Applicable","22","Motor Vehicle In Motion","","","","","","","","","","","","","","","","","","","","","","route 6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73001","1","1","Vehicle in Operation","1","HYUN","2005","2005","TUCSON","BLU","W","Westbound","false","19","Other Non-motorist","6","Turning Right","0","None","88","Not Applicable","1","2","Towed But not Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","2","(Sport) Utility Vehicle","6","Turning Right","0","None","KM8JN72D65U128933","3","Traffic Control Signal","2","Yes","19","Other Non-motorist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","DANIELSOM","CT","","06260","","false","sorels","false","false","RT 6","true","CT","false","false","1","GEICO","","","","","","","","","","","","","","","","","","","","2016-01-18","","","",""
"73788","1","1","Vehicle in Operation","1","HYUN","2010","2010","ELANTRA","BLU","E","Eastbound","false","18","Pedalcycle/Pedalcyclist","1","Straight Ahead","99","Unknown","88","Not Applicable","25","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","1","1","Straight","4","Downhill","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","KMHDU4AD9AU195472","97","Other","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","","","false","false","Newent Rd","false","CT","false","false","1","PROGRESSIVE","","","","","","","","","","","","","","","","","","","","2015-09-04","","","",""
"73788","2","1","Vehicle in Operation","1","","","","","","","","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","","","88","","","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","","1","Straight","1","Level","14","Top","3","Functional Damage","","","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","","","","","","","","","","","","","","","","","","","","","","newent rd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77446","2","1","Vehicle in Operation","1","RM","0","Older than 2003","ROADMASTER","MUL","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","","","1","Straight Ahead","0","None","UNKNOWN","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","PUTNAM","CT","UnitedStates","06260","false","false","","false","false","PROVIDENCE STREET","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77446","1","1","Vehicle in Operation","2","HOND","2015","2015","ACCORD","GRY","E","Eastbound","false","22","Motor Vehicle In Motion","7","Turning Left","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","3","Sector 3 (East) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","7","Turning Left","0","None","1HGCR2F52FA095098","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","WOODSTOCK","CT","UnitedStates","06281","true","false","","false","true","PROVIDENCE ST","false","CT","false","false","1","AMICA MUTUAL INS","","","","","","","","","","","","","","","","","","","","","","","",""
"79202","1","1","Vehicle in Operation","1","CHEV","2012","2012","MALIBU L","GRY","S","Southbound","false","99","Unknown","1","Straight Ahead","0","None","88","Not Applicable","40","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","1","Level","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","1G1ZB5E07CF106432","1","No Control Device","88","Not Applicable","99","Unknown","99","Unknown","99","Unknown","99","Unknown","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","","","","","false","false","","false","false","NORWICH RD","false","CT","false","false","1","21ST CENTURY","","","","","","","","","","","","","","","","","","","","2015-10-03","","","",""
"80302","2","2","Parked Vehicle","0","Chrysler","1995","1995","CONCORDE","GRN","E","Eastbound","false","23","Parked Vehicle","12","Parked","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","12","Parked","0","None","2C3HD56T1SH541874","1","No Control Device","88","Not Applicable","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","North Haven","CT","UnitedStates","06473","","false","N/A","false","false","Prospect St.","false","CT","false","false","1","METROPOLITAN","","","","","","","","","","","","","","","","","","","","","","","",""
"80302","3","2","Parked Vehicle","0","Mazda","2012","2012","MAZDA3I","BLK","E","Eastbound","false","23","Parked Vehicle","12","Parked","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","8","Sector 8 (SouthWest) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","12","Parked","0","None","JM1BL1L81C1597780","1","No Control Device","88","Not Applicable","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Hebron","CT","UnitedStates","06248","","false","N/A","false","false","Prospect St.","false","CT","false","false","1","ALLSTATE","","","","","","","","","","","","","","","","","","","","","","","",""
"80302","1","1","Vehicle in Operation","1","Buick","1989","1989","Reatta","Gry      ","E","Eastbound","false","19","Other Non-motorist","1","Straight Ahead","0","None","88","Not Applicable","25","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","1G4EC11C0KB903196   ","1","No Control Device","88","Not Applicable","19","Other Non-motorist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","WILLIMANTIC","CT","","06226","","false","Gates GMC 143 Boston Post Rd. Wmtc, CT","false","false","Prospect St.","false","CT","false","false","88","GEICO","","","","","","","","","","","","","","","","","","","","","","","",""
"81192","1","2","Parked Vehicle","0","Hino","2014","2014","258lp14","Red      ","E","Eastbound","false","17","Pedestrian","97","Other","0","None","88","Not Applicable","88","2","Towed But not Due to Disabling Damage","88","Not Applicable","","1","Straight","4","Downhill","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","1","No Damage","18","Medium / Heavy Trucks (more than 10,000 lbs (4,536 kg))","97","Other","0","None","5PVNE8JP3E4S50785   ","1","No Control Device","88","Not Applicable","12","Downhill Runaway","17","Pedestrian","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","THOMPSON","CT","","06277","","false","T&B / NORTHEAST","false","false","","true","CT","false","false","1","CPP-UNITED OHIO INS CO","2029376","NEC Bodyworks LLC","Thompson","CT","UnitedStates","06255    ","2","Intrastate Carrier","","","","","","2","10,001-26,000 lbs","2","Single-Unit Truck (2-axle and GVWR more than 10,000 lbs)","10","Flatbed","2015-05-04","1","Yes","",""
"82040","1","1","Vehicle in Operation","1","Nissan","2015","2015","Altima","Red      ","W","Westbound","false","17","Pedestrian","1","Straight Ahead","99","Unknown","88","Not Applicable","1","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","99","Unknown","1N4AL3AP8FN320371   ","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","","false","false","Price Rite Parking Lot","true","CT","false","false","1","State Farm","","","","","","","","","","","","","","","","","","","","2016-03-10","","","",""
"84091","1","1","Vehicle in Operation","2","","0","Older than 2003","","","N","Northbound","false","17","Pedestrian","1","Straight Ahead","0","None","0","None","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","99","Unknown","1","Passenger Car","1","Straight Ahead","0","None","unknown","1","No Control Device","88","Not Applicable","17","Pedestrian","17","Pedestrian","","","","","9","Non-Transport Emergency Services Vehicle","2","Non-Emergency Transport of Passenger","","","","","Unknown","","true","true","","false","false","Silver St.","false","CT","false","false","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"85037","2","1","Vehicle in Operation","1","PONT","1999","1999","GRAND PR","WHI","W","Westbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","1G2WP52K6XF228159","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","18","Pedalcycle/Pedalcyclist","","","","","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","","","","","false","false","","false","false","FIFTH ST","false","CT","false","false","1","AMICA","","","","","","","","","false","","","","","","","","","","","2016-01-15","","","",""
"85037","1","1","Vehicle in Operation","1","","0","Older than 2003","","BLK","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","88","Not Applicable","0","None","1","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","","","1","Straight Ahead","88","Not Applicable","","1","No Control Device","88","Not Applicable","19","Other Non-motorist","22","Motor Vehicle In Motion","","","","","","","","","","","","","","","false","false","","false","false","FIFTH ST","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87281","2","1","Vehicle in Operation","1","Puch","0","Older than 2003","","","S","Southbound","false","18","Pedalcycle/Pedalcyclist","1","Straight Ahead","0","None","","","40","","","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","99","Unknown","99","Unknown","","","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","false","false","Rt. 87","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87281","1","1","Vehicle in Operation","1","Chry","2007","2007","Pt Cruis","Blu      ","S","Southbound","false","18","Pedalcycle/Pedalcyclist","1","Straight Ahead","0","None","88","Not Applicable","40","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","3A4FY48B07T624307   ","1","No Control Device","88","Not Applicable","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","","false","false","Rt. 87","false","CT","false","false","88","NATIONWIDE","","","","","","","","","","","","","","","","","","","","","","","",""
"92661","1","3","Working Vehicle/Equipment","1","INTL","2013","2013","7400","RED","E","Eastbound","false","17","Pedestrian","3","Backing","0","None","88","Not Applicable","30","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","1","No Damage","18","Medium / Heavy Trucks (more than 10,000 lbs (4,536 kg))","3","Backing","0","None","1HTWDAARXDH404192","2","Person (including flagger, law enforcement, crossing guard, etc.)","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","88","Not Applicable","Tolland","CT","","06084","","false","","false","false","Anderson Rd ","false","CT","false","false","1","SELF INSURED","","UNKNOWN","","","","","99","Unknown","","","","","","99","Unknown","3","Single-Unit Truck (3 or more axles)","11","Dump","","2","No","",""
"95416","1","2","Parked Vehicle","0","FORD","2008","2008","F150","WHI","E","Eastbound","false","23","Parked Vehicle","12","Parked","0","None","88","Not Applicable","35","1","Towed Due to Disabling Damage","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","4","Disabling Damage","5","Pick Up","12","Parked","0","None","1FTRF12218KB80454","8","Warning Sign","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","St Louis","MO","","","","false","Bundys","false","false","Rt 74","false","CT","false","false","1","SELF INSURED","","","","","","","","","","","","","","","","","","","","","","","",""
"95416","2","1","Vehicle in Operation","1","JEEP","2007","2007","LIBERTY","BLU","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","35","1","Towed Due to Disabling Damage","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","1J4GL48K37W542715","8","Warning Sign","2","Yes","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Rockville","CT","","","","false","Mill St.","false","false","Rt 74","false","CT","false","false","1","UTICA","","","","","","","","","","","","","","","","","","","","","","","",""
"96366","1","1","Vehicle in Operation","1","UNKNOWN","0","Older than 2003","UNKNOWN","","E","Eastbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","30","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","true","","false","","Ballouville Road","","CT","","","1","Unknown","","","","","","","","","","","","","","","","","","","","","","","",""
"104103","1","1","Vehicle in Operation","1","HYUN","2010","2010","ELANTRA","WHI","S","Southbound","false","26","Other Non-Fixed Object","1","Straight Ahead","0","None","88","Not Applicable","65","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","2","Uphill","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","KMHDU4AD1AU186894","1","No Control Device","88","Not Applicable","26","Other Non-Fixed Object","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","true","N/A","false","false","I-395","false","CT","false","false","1","GEICO","","","","","","","","","","","","","","","","","","","","","","","",""
