https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165957
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"36096","1","1","Vehicle in Operation","1","","0","Older than 2003","","","W","Westbound","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","","3","Not Towed","5","One-Way Trafficway","1","1","Straight","1","Level","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","2","Minor Damage","5","Pick Up","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","UnitedStates","","false","false","","false","false","Truman St.","false","","false","false","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"36096","2","2","Parked Vehicle","0","Toyota","2013","2013","Corolla","Black","","","","23","Parked Vehicle","12","Parked","0","None","88","Not Applicable","","3","Not Towed","5","One-Way Trafficway","","1","Straight","1","Level","5","Sector 5 (South by SouthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","12","Parked","0","None","2T1BU4EE0DC076726","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Haven","CT","UnitedStates","","false","false","","false","false","","true","CT","false","false","1","Allstate","","","","","","","","","","","","","","","","","","","","2015-09-04","","","",""
"36102","1","1","Vehicle in Operation","1","Toyota","1990","1990","Halfton","Gray","W","Westbound","","17","Pedestrian","7","Turning Left","97","Other","88","Not Applicable","25","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","5","Pick Up","7","Turning Left","97","Other","JT4VN02D9L2001387","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","","","","","true","false","","false","false","Chapel St","false","CT","false","false","1","Geico Ins","","","","","","","","","","","","","","","","","","","","","","","",""
"36277","1","1","Vehicle in Operation","1","","2013","2013","Camry","Red","W","Westbound","","22","Motor Vehicle In Motion","7","Turning Left","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","7","Turning Left","0","None","4T4BF1FKXDR322666","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","","","","","true","false","","false","false","Washington Avenue","false","GA","false","false","1","Allstate","","","","","","","","","","","","","","","","","","","","2015-10-27","","","",""
"36277","2","1","Vehicle in Operation","1","","0","Older than 2003","","","W","Westbound","false","18","Pedalcycle/Pedalcyclist","1","Straight Ahead","1","Brakes","88","Not Applicable","25","","","1","Two-Way, Not Divided","","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","2","Minor Damage","","","1","Straight Ahead","1","Brakes","","1","No Control Device","88","Not Applicable","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","false","false","","false","false","Washington Avenue","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37802","1","1","Vehicle in Operation","1","Pontiac","1999","1999","Montana","Gray","W","Westbound","","17","Pedestrian","4","Changing Lanes","0","None","88","Not Applicable","25","1","Towed Due to Disabling Damage","5","One-Way Trafficway","3","1","Straight","4","Downhill","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","3","Passenger Van","4","Changing Lanes","0","None","1GMDX03E8XD146262","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","West Haven","CT","UnitedStates","06516","false","false","Columbus","false","false","N Frontage Rd","false","CT","false","false","1","Progressive","","","","","","","","","","","","","","","","","","","","2015-09-25","","","",""
"39680","1","1","Vehicle in Operation","1","JEEP","2007","2007","CMP","GRN","E","Eastbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","2","Minor Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","1J8FT47W67D219222","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","West Haven","CT","","06516","","false","Tim's","false","false","Dalton St","false","CT","false","false","1","ALLSTATE","","","","","","","","","","","","","","","","","","","","2015-07-18","","","",""
"40912","1","1","Vehicle in Operation","1","Bavarian Motor Works","2001","2001","325ci","Black","W","Westbound","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","2","Towed But not Due to Disabling Damage","5","One-Way Trafficway","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","0","None","WBABN33421JW48992","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","","","","","true","false","Crown Auto Center","false","true","Chapel Street","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2015-07-31","","","",""
"40912","2","1","Vehicle in Operation","1","TREK","0","Older than 2003","","","N","Northbound","false","18","Pedalcycle/Pedalcyclist","1","Straight Ahead","99","Unknown","88","Not Applicable","25","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","3","Sector 3 (East) in the 12-point Clock Diagram","4","Disabling Damage","","","1","Straight Ahead","99","Unknown","","3","Traffic Control Signal","2","Yes","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","false","false","","false","true","Sherman Avenue","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44230","1","1","Vehicle in Operation","1","Saab","2002","2002","93","Black","N","Northbound","false","17","Pedestrian","7","Turning Left","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","7","1","Straight","1","Level","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","7","Turning Left","0","None","YS3DF78K027005426","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","Meriden","CT","UnitedStates","06450","true","false","","false","false","State St","false","CT","false","false","1","Travelers","","","","","","","","","","","","","","","","","","","","2016-03-28","","","",""
"50639","1","1","Vehicle in Operation","1","","0","Older than 2003","","","N","Northbound","","17","Pedestrian","1","Straight Ahead","99","Unknown","88","Not Applicable","25","99","Unknown","1","Two-Way, Not Divided","2","1","Straight","1","Level","99","Unknown","99","Unknown","2","(Sport) Utility Vehicle","1","Straight Ahead","99","Unknown","","1","No Control Device","88","Not Applicable","17","Pedestrian","17","Pedestrian","88","Not Applicable","88","Not Applicable","99","Unknown","99","Unknown","","","","","UnitedStates","","false","true","","false","false","Blatchley Ave","false","","false","false","99","","","","","","","","","","","","","","","","","","","","","","","","",""
"52305","1","1","Vehicle in Operation","1","Honda","2003","2003","Ody","Tan","W","Westbound","","17","Pedestrian","3","Backing","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","99","Unknown","99","Unknown","1","Passenger Car","3","Backing","0","None","5FNRL18923B005200","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Guilford","CT","UnitedStates","06437","false","true","","false","false","Davenport Avenue","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2015-07-10","","","",""
"55523","1","1","Vehicle in Operation","1","","0","Older than 2003","","","W","Westbound","","17","Pedestrian","1","Straight Ahead","99","Unknown","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","4","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","99","Unknown","1","Passenger Car","1","Straight Ahead","99","Unknown","","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown","99","Unknown","","","","","UnitedStates","","false","true","","false","false","Whalley Ave","false","","false","false","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","",""
"56020","1","1","Vehicle in Operation","1","HYUN","2001","2001","ELANTRA","PUR","N","Northbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","1","Straight Ahead","0","None","KMHDN45D31U167366","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","","false","false","Second Ave","false","CT","false","false","1","Metropolitan Property and Casualty Insurance","","","","","","","","","","","","","","","","","","","","2015-09-06","","","",""
"63867","1","1","Vehicle in Operation","1","CHEV","2012","2012","VOLT","GRY","E","Eastbound","false","17","Pedestrian","7","Turning Left","99","Unknown","88","Not Applicable","1","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","7","Turning Left","99","Unknown","1G1RD6E40CU111342","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Durham","CT","","","","false","East Haven Police Department","false","false","Paul Street","false","CT","false","false","1","GEICO","","","","","","","","","","","","","","","","","","","","2015-07-11","","","",""
"64872","1","1","Vehicle in Operation","1","Honda","2005","2005","Civic","Blue","N","Northbound","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","1HGES16315LO15O69","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Haven","CT","UnitedStates","06511","false","false","","false","true","Sherman Ave","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2016-01-23","","","",""
"64872","2","1","Vehicle in Operation","1","","0","Older than 2003","","","S","Southbound","false","18","Pedalcycle/Pedalcyclist","99","Unknown","0","None","88","Not Applicable","25","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","99","Unknown","1","No Damage","","","99","Unknown","0","None","","1","No Control Device","88","Not Applicable","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","false","false","","false","true","Sherman Ave","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67295","1","1","Vehicle in Operation","1","","2006","2006","Rav4","Gray","S","Southbound","","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","JTMBD33V866004499","1","No Control Device","88","Not Applicable","17","Pedestrian","17","Pedestrian","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Haven","CT","UnitedStates","","false","false","","false","false","Blatchley Ave","false","CT","false","false","1","State Farm","","","","","","","","","","","","","","","","","","","","2015-12-21","","","",""
"67336","2","1","Vehicle in Operation","1","TREK","0","Older than 2003","MAD ONE","Black","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","","","30","","","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","","","1","Straight Ahead","0","None","","6","Stop Sign","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","","false","","false","true","RIDGE RD","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67336","1","1","Vehicle in Operation","1","BUIC","2005","2005","LESABRE","RED","W","Westbound","false","18","Pedalcycle/Pedalcyclist","7","Turning Left","0","None","88","Not Applicable","30","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","7","Turning Left","0","None","1G4HP54K65U163805","1","No Control Device","88","Not Applicable","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","","false","true","HAVERFORD ST","false","CT","false","false","1","SAFECO INS","","","","","","","","","","","","","","","","","","","","2015-09-19","","","",""
"69915","1","1","Vehicle in Operation","2","Nissan","2010","2010","Murano","Blue","S","Southbound","","21","Animal (live)","1","Straight Ahead","0","None","88","Not Applicable","25","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","14","Top","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","JN8AZ1MW8AW131971","1","No Control Device","88","Not Applicable","21","Animal (live)","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","2","Non-Emergency Transport of Passenger","","","New Haven","CT","UnitedStates","06511","false","false","","false","false","Dixwell Avenue","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2015-04-12","","","",""
"72635","1","1","Vehicle in Operation","1","Honda","2008","2008","Accord","Black","S","Southbound","","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","1HGCP26458A078294","10","Marked Uncontrolled Crosswalk","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","true","true","","false","false","Orange St","false","CT","false","false","1","Unknown","","","","","","","","","","","","","","","","","","","","","","","",""
"74801","1","1","Vehicle in Operation","1","Toyota","2007","2007","Camry","Gray","W","Westbound","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","JTNBK46K473021053","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","New Haven","CT","UnitedStates","06511","false","false","Lombard Motors","false","false","Davenport Ave","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2016-01-01","","","",""
"74801","2","1","Vehicle in Operation","1","","0","Older than 2003","","","N","Northbound","false","18","Pedalcycle/Pedalcyclist","1","Straight Ahead","0","None","88","Not Applicable","25","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","3","Sector 3 (East) in the 12-point Clock Diagram","4","Disabling Damage","","","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","false","false","","false","false","Davenport Ave","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76607","1","1","Vehicle in Operation","1","Toyota","2001","2001","Camry","Green","W","Westbound","","18","Pedalcycle/Pedalcyclist","7","Turning Left","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","7","Turning Left","0","None","4T1BG22K61U041155","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","true","false","","false","false","Goffe Street","false","CT","false","false","88","Safeco","","","","","","","","","","","","","","","","","","","","2016-08-06","","","",""
