https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165957
"CrashId","VehicleId","PersonId","Age","Gender","Gender Text Format","State","Postal Code","Person Type","Person Type Text Format","Injury Status","Injury Status Text Format","Condition at Time of Crash","Condition at Time of Crash Text Format","Condition at Time of Crash2","Condition at Time of Crash2 Text Format","Action Taken by Officer","Action Taken by Officer Text Format","Alcohol Test Status","Alcohol Test Status Text Format","Type Of Alcohol Test","Type Of Alcohol Test Text Format","Drug Test Status","Drug Test Status Text Format","Type Of Drig Test","Type Of Drig Test Text Format","Ejection Status","Ejection Status Text Format","Restraint System","Restraint System Text Format","Helmet Use","Helmet Use Text Format","Air Bag Status","Air Bag Status Text Format","Speeding Related","Speeding Related Text Format","Driver Actions 1","Driver Actions 1 Text Format","Driver Actions 2","Driver Actions 2 Text Format","Driver Actions 3","Driver Actions 3 Text Format","Driver Actions 4","Driver Actions 4 Text Format","Driver Distracted By","Driver Distracted By Text Format","Roadway On Which Nonmotorist Was Traveling/Located","Direction nonmotorist was traveling","Direction Unknown","Striking Motor Vehicle ID","Bicycle ID","Non-Motorist Not In Roadway","Actions or Circumstances Prior to Crash","Actions or Circumstances Prior to Crash Text Format","To or From School","To or From School Text Format","Actions or Circumstances At Time Of Crash","Actions or Circumstances At Time Of Crash Text Format","Actions or Circumstances At Time Of Crash2","Actions or Circumstances At Time Of Crash2 Text Format","Location At Time Of Crash","Location At Time Of Crash Text Format","Safety Equipment","Safety Equipment Text Format","Safety Equipment2","Safety Equipment2 Text Format","Non-motorist Distracted By","Non-motorist Distracted By Text Format","Seating Position","Seating Position Text Format","Seating Position for Bus","City","Country","Driver License Jurisdiction","Driver License Jurisdiction Text Format","Drivers License Issued By","Drivers License Class","Commercial License Class","Commercial License Class Text Format","Transported to First Medical Facility By","Transported to First Medical Facility By Text Format","Name of the EMS agency","Name of the Intended Receiving Facility"
"37802","","4","26","1","Male","CT","06511","3","Pedestrian","A","Suspected Serious Injury (A)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","N FRONTAGE RD","S","false","1","2","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","9","Not Visible (Dark Clothing, No Lighting, etc.)","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"39680","","2","30","1","Male","CT","06515","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Dalton St","E","false","1","","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","1","No Improper Action","","","5","Travel Lane-Other Location","0","None","","","1","Not Distracted","","","","WEST HAVEN","","2","State","CT","","","","1","Not Transported","AMR Ambulance","YALE NH HOSPITAL"
"40912","","2","33","2","Female","CT","06511","5","Bicyclist","A","Suspected Serious Injury (A)","2","Physically Impaired","2","Physically Impaired","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","SHERMAN AVENUE","N","false","1","2","false","4","Walking/Cycling along Roadway Against Traffic (In or Adjacent to Travel Lane)","1","No","4","Failure to Obey Traffic Signs, Signals, or Officer","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"44230","","2","53","2","Female","CT","","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","STATE ST","N","","1","","false","1","Crossing Roadway","1","No","1","No Improper Action","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","1","Not Distracted","","","","Niantic","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"50639","","3","61","2","Female","CT","06513","3","Pedestrian","A","Suspected Serious Injury (A)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","BLATCHLEY AVE","N","false","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","99","Unknown","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","UnitedStates","88","Not applicable","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"50639","","4","52","2","Female","","","3","Pedestrian","A","Suspected Serious Injury (A)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","BLATCHLEY AVE","N","false","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","97","Other","0","None","88","Not Applicable","99","Unknown if Distracted","","","","","UnitedStates","88","Not applicable","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"52305","","2","32","1","Male","CT","06451","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","DAVENPORT AVENUE","N","false","1","","false","1","Crossing Roadway","1","No","1","No Improper Action","1","No Improper Action","1","Intersection-Marked Crosswalk","0","None","0","None","1","Not Distracted","","","","Meriden","UnitedStates","1","Not Licensed","CT","","","","1","Not Transported","",""
"55523","","2","17","1","Male","CT","06604","3","Pedestrian","A","Suspected Serious Injury (A)","97","Other","97","Other","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","WHALLEY AVE","S","false","1","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","88","Not Applicable","97","Other","0","None","88","Not Applicable","99","Unknown if Distracted","","","","Bridgeport","UnitedStates","","","","","","","1","Not Transported","AMERICAN MEDICAL RESPONSE","YALE-NH HOSP"
"56020","","2","11","1","Male","CT","06516","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Second Ave","N","false","1","","false","6","In Roadway - Other","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","","","5","Travel Lane-Other Location","0","None","","","7","Other, Outside Vehicle","","","","West Haven","UnitedStates","88","Not applicable","CT","","","","1","Not Transported","AMR","New Haven Hospital"
"63867","","2","46","1","Male","CT","06604","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Paul Street","N","false","1","","false","99","Unknown","1","No","99","Unknown","","","2","Intersection-Unmarked Crosswalk","0","None","","","99","Unknown if Distracted","","","","Bridgeport     ","","88","Not applicable","CT","","","","1","Not Transported","American Medical Response","New Haven Hospital"
"64872","","2","26","1","Male","CT","06511","5","Bicyclist","A","Suspected Serious Injury (A)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","SHERMAN AVE.","S","false","1","2","false","4","Walking/Cycling along Roadway Against Traffic (In or Adjacent to Travel Lane)","1","No","12","Wrong-Way Riding or Walking","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"67295","","4","9","2","Female","CT","06513","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","BLATCHLEY AVENUE","N","false","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","5","In Roadway Improperly (Standing, Lying, Working, Playing)","7","Shoulder/Roadside","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"67336","","3","45","2","Female","CT","06525","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","RIDGE RD","S","false","2","2","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","1","No Improper Action","","","2","Intersection-Unmarked Crosswalk","1","Helmet","","","1","Not Distracted","","","","Woodbridge","","88","Not applicable","CT","","","","1","Not Transported","AMR","New Haven Hospital"
"69915","","3","6","1","Male","CT","06511","3","Pedestrian","A","Suspected Serious Injury (A)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","","","false","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","88","Not Applicable","97","Other","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","88","Not applicable","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"72635","","2","29","1","Male","CT","06519","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","BRADLEY STREET","W","false","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","99","Unknown","99","Unknown","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","UnitedStates","88","Not applicable","","","","","1","Not Transported","AMR","YALE-NH HOSP"
"74801","","2","23","2","Female","CT","","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","DAVENPORT AVE","N","false","1","2","false","1","Crossing Roadway","1","No","1","No Improper Action","1","No Improper Action","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"76607","","2","19","1","Male","CT","06501","5","Bicyclist","A","Suspected Serious Injury (A)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","SHERMAN","N","false","1","2","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","4","Failure to Obey Traffic Signs, Signals, or Officer","88","Not Applicable","3","Intersection � Other","0","None","0","None","1","Not Distracted","","","","New Haven","UnitedStates","2","State","CT","","","","1","Not Transported","AMER MED RESPONSE","ST RAPHAELS-YNHH"
"76621","","2","57","1","Male","CT","06519","5","Bicyclist","A","Suspected Serious Injury (A)","2","Physically Impaired","2","Physically Impaired","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","CENTER STREET","W","","1","2","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","1","No Improper Action","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","West Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"76623","","1","20","2","Female","CT","06511","3","Pedestrian","A","Suspected Serious Injury (A)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ORANGE STREET","","true","1","","false","1","Crossing Roadway","2","Yes","1","No Improper Action","88","Not Applicable","4","Midblock-Marked Crosswalk","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","","","CT","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"80007","","2","22","2","Female","CT","","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","YORK STREET","W","","1","2","false","5","Walking/Cycling on Sidewalk","1","No","10","Improper Turn/Merge","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMERICAN MEDICAL RESPONSE","YALE-NH HOSP"
"81212","","2","26","2","Female","VT","05301","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","","N","false","1","","false","6","In Roadway - Other","1","No","6","Disabled Vehicle Related (Working on, Pushing, Leaving/Approaching)","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","Brattleboro","","2","State","VT","","","","1","Not Transported","AMR","YALE"
"81212","","3","27","2","Female","RI","02881","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","I-95","N","false","2","","false","6","In Roadway - Other","1","No","6","Disabled Vehicle Related (Working on, Pushing, Leaving/Approaching)","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","Kingston","","2","State","RI","","","","1","Not Transported","AMR","YALE"
"83654","","4","27","1","Male","CT","","3","Pedestrian","A","Suspected Serious Injury (A)","99","Unknown","99","Unknown","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","EXCHANGE ST","E","","2","","false","7","Adjacent to Roadway (e.g., Shoulder, Median)","1","No","7","Entering/Exiting Parked/Standing Vehicle","88","Not Applicable","10","Driveway Access","0","None","88","Not Applicable","7","Other, Outside Vehicle","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"83677","","2","39","1","Male","CT","06511","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELLA T GRASSO BLVD","S","","1","2","false","97","Other","1","No","1","No Improper Action","88","Not Applicable","7","Shoulder/Roadside","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","88","Not applicable","CT","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"84637","","3","21","2","Female","CT","06511","3","Pedestrian","A","Suspected Serious Injury (A)","2","Physically Impaired","2","Physically Impaired","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ORCHARD ST","N","","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","2","Dart/Dash","2","Intersection-Unmarked Crosswalk","0","None","0","None","1","Not Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"91523","","2","37","1","Male","CT","06513","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","FERRY ST","E","false","1","2","false","5","Walking/Cycling on Sidewalk","1","No","2","Dart/Dash","4","Failure to Obey Traffic Signs, Signals, or Officer","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","UnitedStates","88","Not applicable","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"95696","","3","81","1","Male","CT","06512","4","Other Pedestrian (wheelchair, person in a building, skater, pedestrian conveyance)","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Foxon Road","E","false","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","4","Midblock-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","East Haven","","","","CT","","","","1","Not Transported","AMR","Yale New Haven Hospital"
"103005","","1","26","1","Male","CT","06516","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","100 Campbell Ave","W","","1","","true","99","Unknown","1","No","1","No Improper Action","","","97","Other","0","None","","","99","Unknown if Distracted","","","","West Haven","UnitedStates","","","CT","","","","3","EMS Ground","AMR","New Haven Hospital"
"106078","","2","28","2","Female","CT","","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ORANGE","N","false","2","2","false","1","Crossing Roadway","1","No","1","No Improper Action","88","Not Applicable","1","Intersection-Marked Crosswalk","4","Lighting","0","None","1","Not Distracted","","","","New Haven","UnitedStates","1","Not Licensed","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"109049","","2","51","1","Male","CT","06512","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Dodge Avenue","E","false","1","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","88","Not Applicable","2","Intersection-Unmarked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","East Haven","","2","State","CT","","","","3","EMS Ground","AMR","New Haven Hospital"
"110272","","1","30","2","Female","CT","06525","3","Pedestrian","A","Suspected Serious Injury (A)","6","Under the Influence of Medications/Drugs/Alcohol","97","Other","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","EASTERN STREET","S","false","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","5","In Roadway Improperly (Standing, Lying, Working, Playing)","2","Intersection-Unmarked Crosswalk","0","None","88","Not Applicable","1","Not Distracted","","","","Woodbridge","UnitedStates","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"111771","","3","23","1","Male","CT","06512","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","88","Not Applicable","3","Infraction","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Hemingway Avenue","S","","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","EAST HAVEN","","","","CT","","","","3","EMS Ground","AMR ","Yale "
"113052","","2","32","2","Female","CT","06512","3","Pedestrian","A","Suspected Serious Injury (A)","99","Unknown","88","Not Applicable","3","Infraction","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Hemingway Avenue","S","","1","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","","","5","Travel Lane-Other Location","0","None","","","1","Not Distracted","","","","East Haven","UnitedStates","2","State","CT","","","","3","EMS Ground","AMR","New Haven Hospital"
