https://ctcrash.uconn.edu/QueryTool2.action?qid=110711
"CrashId","VehicleId","PersonId","Age","Gender","Gender Text Format","State","Postal Code","Person Type","Person Type Text Format","Injury Status","Injury Status Text Format","Condition at Time of Crash","Condition at Time of Crash Text Format","Condition at Time of Crash2","Condition at Time of Crash2 Text Format","Action Taken by Officer","Action Taken by Officer Text Format","Alcohol Test Status","Alcohol Test Status Text Format","Type Of Alcohol Test","Type Of Alcohol Test Text Format","Drug Test Status","Drug Test Status Text Format","Type Of Drig Test","Type Of Drig Test Text Format","Ejection Status","Ejection Status Text Format","Restraint System","Restraint System Text Format","Helmet Use","Helmet Use Text Format","Air Bag Status","Air Bag Status Text Format","Speeding Related","Speeding Related Text Format","Driver Actions 1","Driver Actions 1 Text Format","Driver Actions 2","Driver Actions 2 Text Format","Driver Actions 3","Driver Actions 3 Text Format","Driver Actions 4","Driver Actions 4 Text Format","Driver Distracted By","Driver Distracted By Text Format","Roadway On Which Nonmotorist Was Traveling/Located","Direction nonmotorist was traveling","Direction Unknown","Striking Motor Vehicle ID","Bicycle ID","Non-Motorist Not In Roadway","Actions or Circumstances Prior to Crash","Actions or Circumstances Prior to Crash Text Format","To or From School","To or From School Text Format","Actions or Circumstances At Time Of Crash","Actions or Circumstances At Time Of Crash Text Format","Actions or Circumstances At Time Of Crash2","Actions or Circumstances At Time Of Crash2 Text Format","Location At Time Of Crash","Location At Time Of Crash Text Format","Safety Equipment","Safety Equipment Text Format","Safety Equipment2","Safety Equipment2 Text Format","Non-motorist Distracted By","Non-motorist Distracted By Text Format","Seating Position","Seating Position Text Format","Seating Position for Bus","City","State","Country","Postal Code","Driver License Jurisdiction","Driver License Jurisdiction Text Format","Drivers License Issued By","Drivers License Class","Commercial License Class","Commercial License Class Text Format","Transported to First Medical Facility By","Transported to First Medical Facility By Text Format","Name of the EMS agency","Name of the Intended Receiving Facility"
"357298","","2","42","2","Female","CT","06470","3","Pedestrian","K","Fatal Injury (K)","2","Physically Impaired","2","Physically Impaired","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","YORK ST"," ","true","1","","false","2","Waiting to Cross Roadway","1","No","1","No Improper Action","88","Not Applicable","8","Sidewalk","0","None","88","Not Applicable","1","Not Distracted","","","","Waterbury","CT","United States","06470","88","Not applicable","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"393532","","4","55","1","Male","CT","06511","5","Bicyclist","K","Fatal Injury (K)","97","Other","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELLA T GRASSO BLVD","S","","1","2","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","1","No Improper Action","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","United States","06511","2","State","CT","","","","1","Not Transported","",""
"394910","","3","47","2","Female","CT","06512","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Coe Avenue","N","","1","","false","99","Unknown","1","No","9","Not Visible (Dark Clothing, No Lighting, etc.)","97","Other","","","0","None","0","None","99","Unknown if Distracted","","","","East Haven","CT","","06512","2","State","CT","","","","97","Other","American Medical Response","New Haven Hospital"
"404936","","2","59","2","Female","CT","06512","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","FOXON RD"," ","true","1","","","1","Crossing Roadway","1","No","3","Failure to Yield Right-Of-Way","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","EAST HAVEN","CT","","06512","88","Not applicable","CT","","","","3","EMS Ground","AMR","YALE NH HOSP"
"450401","","2","23","2","Female","CT","06354","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Boston Post Rd","W","","1","","false","6","In Roadway - Other","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","88","Not Applicable","5","Travel Lane-Other Location","3","Reflective Clothing","88","Not Applicable","1","Not Distracted","","","","Moosup","CT","","06354","88","Not applicable","CT","","","","3","EMS Ground","AMR","New Haven Hospital"
"459817","","2","55","1","Male","CT","06516","3","Pedestrian","K","Fatal Injury (K)","6","Under the Influence of Medications/Drugs/Alcohol","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","RT 1","N","","","","","7","Adjacent to Roadway (e.g., Shoulder, Median)","1","No","99","Unknown","","","7","Shoulder/Roadside","0","None","","","99","Unknown if Distracted","","","","WEST HAVEN","CT","","06516","88","Not applicable","","","","","1","Not Transported","",""
"475458","","2","38","2","Female","CT","06517","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","99","Unknown","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELLA T GRASSO BLVD"," ","true","1","","false","99","Unknown","99","Unknown","99","Unknown","88","Not Applicable","99","Unknown","99","Unknown","88","Not Applicable","99","Unknown if Distracted","","","","Hamden","CT","United States","06517","2","State","CT","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"514787","","2","65","2","Female","CT","06473","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Driveway 119 Scrub Oak Road","S","","1","","false","99","Unknown","1","No","99","Unknown","","","99","Unknown","99","Unknown","","","99","Unknown if Distracted","","","","North Haven","CT","","06473","","","CT","","","","3","EMS Ground","AMR","New Haven Hospital"
"540835","","1","59","1","Male","CT","","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","99","Unknown","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","CHAPEL ST","E","","1","","false","6","In Roadway - Other","1","No","2","Dart/Dash","2","Dart/Dash","5","Travel Lane-Other Location","0","None","0","None","7","Other, Outside Vehicle","","","","Milford","CT","United States","","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"540839","","2","59","1","Male","CT","06513","3","Pedestrian","K","Fatal Injury (K)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","FOXON BLVD","N","","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","United States","06513","1","Not Licensed","CT","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"569905","","2","62","2","Female","CT","06516","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","FIRST AVE","S","","1","","true","5","Walking/Cycling on Sidewalk","1","No","1","No Improper Action","88","Not Applicable","8","Sidewalk","0","None","88","Not Applicable","1","Not Distracted","","","","West Haven","CT","United States","06516","88","Not applicable","","","","","1","Not Transported","",""
"572179","","2","60","1","Male","CT","06516","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","99","Unknown if Tested","88","Not Applicable","99","Unknown if Tested","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Quinnipiac Avenue","E","","1","","false","1","Crossing Roadway","1","No","99","Unknown","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","West Haven","CT","","06516","2","State","CT","","","","1","Not Transported","",""
"573320","","2","50","2","Female","CT","06473","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Dixwell Av","W","","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","North Haven","CT","United States","06473","","","CT","","","","3","EMS Ground","AMR","Yale New Haven Hospital"
"573761","","2","35","2","Female","CT","06511","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Elm Street","E","","2","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","New Haven","CT","United States","06511","88","Not applicable","CT","","","","3","EMS Ground","AMR","New Haven Hospital"
"588925","","2","62","1","Male","  ","","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Derby Ave","S","","1","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","","  ","","","2","State","CT","","","","3","EMS Ground","AMR","YALE NEW HAVEN HOSPITAL"
"589025","","2","50","2","Female","CT","06518","3","Pedestrian","K","Fatal Injury (K)","6","Under the Influence of Medications/Drugs/Alcohol","88","Not Applicable","0","None taken","3","Test Given","1","Blood","3","Test Given","1","Blood","","","","","","","","","","","","","","","","","","","","","Dixwell Avenue","E","","1","","false","1","Crossing Roadway","1","No","3","Failure to Yield Right-Of-Way","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","Hamden       ","CT","United States","06518","2","State","CT","","","","3","EMS Ground","AMR","New Haven Hospital"
"596119","","2","50","1","Male","CT","0651 ","3","Pedestrian","K","Fatal Injury (K)","6","Under the Influence of Medications/Drugs/Alcohol","88","Not Applicable","0","None taken","3","Test Given","97","Other","3","Test Given","97","Other","","","","","","","","","","","","","","","","","","","","","Route 15","S","","1","","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","9","Not Visible (Dark Clothing, No Lighting, etc.)","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","","0651 ","2","State","CT","","","","1","Not Transported","N/A","N/A"
"606834","","2","27","2","Female","  ","","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","",""," ","true","1","","","99","Unknown","1","No","99","Unknown","","","99","Unknown","99","Unknown","","","99","Unknown if Distracted","","","","","  ","","","88","Not applicable","","","","","1","Not Transported","",""
"611371","","2","57","2","Female","CT","06473","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Ridge Road","N","","1","","false","99","Unknown","1","No","99","Unknown","88","Not Applicable","5","Travel Lane-Other Location","99","Unknown","88","Not Applicable","99","Unknown if Distracted","","","","North Haven         ","CT","United States","06473","88","Not applicable","","","","","3","EMS Ground","AMR","Yale New Haven Hospital"
"631742","","2","44","2","Female","CT","06516","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","MIDDLETOWN AVE","N","","1","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","West Haven","CT","United States","06516","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"655722","","2","44","1","Male","CT","06519","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Boston Post Rd","E","","2","","false","1","Crossing Roadway","1","No","4","Failure to Obey Traffic Signs, Signals, or Officer","9","Not Visible (Dark Clothing, No Lighting, etc.)","3","Intersection – Other","0","None","","","1","Not Distracted","","","","New Haven","CT","","06519","","","CT","","","","3","EMS Ground","AMR Ambulance","YALE NEW HAVEN HOSPITAL"
"667231","","3","42","1","Male","CT","06516","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELLA T GRASSO BLVD","S","","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","88","Not Applicable","2","Intersection-Unmarked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","West Haven","CT","United States","06516","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"671094","","4","34","1","Male","CT","06512","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","3","Test Given","1","Blood","3","Test Given","1","Blood","","","","","","","","","","","","","","","","","","","","","I-95 Southbound","S","","1","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","New Haven","CT","","06512","1","Not Licensed","CT","","","","1","Not Transported","",""
"674223","","2","32","1","Male","CT","06492","3","Pedestrian","K","Fatal Injury (K)","97","Other","","","0","None taken","99","Unknown if Tested","88","Not Applicable","99","Unknown if Tested","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","MIDDLETOWN AVE","S","","1","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","Wallingford","CT","United States","06492","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"680562","","2","48","1","Male","CT","06516","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","FERRY ST","E","","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","Hamden","CT","United States","06516","99","Unknown","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"703042","","3","49","1","Male","CT","06515","3","Pedestrian","K","Fatal Injury (K)","2","Physically Impaired","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","FOXON BLVD","W","","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","3","Failure to Yield Right-Of-Way","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","CT","United States","06515","1","Not Licensed","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"725111","","3","42","1","Male","CT","06511","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","99","Unknown","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","",""," ","true","1","","true","5","Walking/Cycling on Sidewalk","1","No","1","No Improper Action","88","Not Applicable","8","Sidewalk","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","CT","United States","06511","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"725111","","4","32","1","Male","  ","","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","99","Unknown","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","","E","","1","","true","5","Walking/Cycling on Sidewalk","1","No","1","No Improper Action","88","Not Applicable","8","Sidewalk","99","Unknown","88","Not Applicable","1","Not Distracted","","","","","  ","United States","","","","","","","","2","EMS Air","AMER MED RESPONSE","YALE-NH HOSP"
"725627","","2","55","1","Male","CT","06511","3","Pedestrian","K","Fatal Injury (K)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","WHALLEY AVE"," ","true","1","","false","6","In Roadway - Other","1","No","9","Not Visible (Dark Clothing, No Lighting, etc.)","99","Unknown","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","United States","06511","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"732221","","3","72","1","Male","CT","06512","3","Pedestrian","K","Fatal Injury (K)","2","Physically Impaired","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Main Street","E","","1","","false","1","Crossing Roadway","1","No","99","Unknown","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","East Haven     ","CT","","06512","","","CT","","","","3","EMS Ground","American Medical Response","Yale New Haven Hospital"
"735600","","2","72","1","Male","CT","06511","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","99","Unknown","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","DIXWELL AVE","E","","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","United States","06511","88","Not applicable","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"736354","","1","74","1","Male","CT","06518","4","Other Pedestrian (wheelchair, person in a building, skater, pedestrian conveyance)","K","Fatal Injury (K)","6","Under the Influence of Medications/Drugs/Alcohol","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Dixwell Ave","W","","","","","1","Crossing Roadway","1","No","1","No Improper Action","97","Other","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","Hamden","CT","","06518","2","State","CT","0","1","No","3","EMS Ground","AMR","YALE"
"738462","","2","68","1","Male","CT","06513","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","MIDDLETOWN AVE","N","","1","","false","0","None","1","No","99","Unknown","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","United States","06513","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"738860","","2","44","1","Male","CT","","3","Pedestrian","K","Fatal Injury (K)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","COLUMBUS AVE","E","","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","United States","","88","Not applicable","","","","","3","EMS Ground","NEW HAVEN FIRE","YALE-NH HOSP"
"745292","","2","73","1","Male","CT","06473","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Derby Ave","N","","2","","false","1","Crossing Roadway","1","No","5","In Roadway Improperly (Standing, Lying, Working, Playing)","","","5","Travel Lane-Other Location","0","None","","","99","Unknown if Distracted","","","","North Haven","CT","","06473","","","CT","","","","3","EMS Ground","AMR","New Haven Hospital"
